Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
0,-1.8049,-2.49585,-2.49585,-1.8049
1,-1.79582,-2.49753,-2.49753,-1.79582
2,-1.78661,-2.49928,-2.49928,-1.78661
3,-1.77728,-2.50111,-2.50111,-1.77728
4,-1.76782,-2.50302,-2.50302,-1.76782
5,-1.75824,-2.50501,-2.50501,-1.75824
6,-1.74852,-2.50709,-2.50709,-1.74852
7,-1.73867,-2.50926,-2.50926,-1.73867
8,-1.72869,-2.51152,-2.51152,-1.72869
9,-1.71856,-2.51388,-2.51388,-1.71856
10,-1.7083,-2.51634,-2.51634,-1.7083
11,-1.69789,-2.5189,-2.5189,-1.69789
12,-1.68734,-2.52156,-2.52156,-1.68734
13,-1.67664,-2.52434,-2.52434,-1.67664
14,-1.66579,-2.52722,-2.52722,-1.66579
15,-1.65478,-2.53022,-2.53022,-1.65478
16,-1.64361,-2.53335,-2.53335,-1.64361
17,-1.63229,-2.53659,-2.53659,-1.63229
18,-1.6208,-2.53997,-2.53997,-1.6208
19,-1.60915,-2.54347,-2.54347,-1.60915
20,-1.59732,-2.54711,-2.54711,-1.59732
21,-1.58532,-2.5509,-2.5509,-1.58532
22,-1.57315,-2.55483,-2.55483,-1.57315
23,-1.56079,-2.55891,-2.55891,-1.56079
24,-1.54825,-2.56314,-2.56314,-1.54825
25,-1.53553,-2.56754,-2.56754,-1.53553
26,-1.52261,-2.57189,-2.57189,-1.52261
27,-1.50951,-2.57447,-2.57447,-1.50951
28,-1.4963,-2.57716,-2.57716,-1.4963
29,-1.48291,-2.57992,-2.57992,-1.48291
30,-1.46932,-2.58276,-2.58276,-1.46932
31,-1.45552,-2.58567,-2.58567,-1.45552
32,-1.44153,-2.58868,-2.58868,-1.44153
33,-1.42732,-2.59177,-2.59177,-1.42732
34,-1.4129,-2.59495,-2.59495,-1.4129
35,-1.39826,-2.59822,-2.59822,-1.39826
36,-1.38341,-2.60159,-2.60159,-1.38341
37,-1.36832,-2.60505,-2.60505,-1.36832
38,-1.35301,-2.60861,-2.60861,-1.35301
39,-1.33746,-2.61227,-2.61227,-1.33746
40,-1.32168,-2.61603,-2.61603,-1.32168
41,-1.30566,-2.61989,-2.61989,-1.30566
42,-1.28939,-2.62386,-2.62386,-1.28939
43,-1.27287,-2.62793,-2.62793,-1.27287
44,-1.2561,-2.63211,-2.63211,-1.2561
45,-1.23907,-2.6364,-2.6364,-1.23907
46,-1.22178,-2.64079,-2.64079,-1.22178
47,-1.20423,-2.64529,-2.64529,-1.20423
48,-1.18641,-2.64991,-2.64991,-1.18641
49,-1.16832,-2.65463,-2.65463,-1.16832
50,-1.14995,-2.65946,-2.65946,-1.14995
51,-1.13131,-2.6644,-2.6644,-1.13131
52,-1.11239,-2.66944,-2.66944,-1.11239
53,-1.09318,-2.6746,-2.6746,-1.09318
54,-1.07369,-2.67985,-2.67985,-1.07369
55,-1.05391,-2.68521,-2.68521,-1.05391
56,-1.03384,-2.69066,-2.69066,-1.03384
57,-1.01348,-2.69622,-2.69622,-1.01348
58,-0.992821,-2.70186,-2.70186,-0.992821
59,-0.957513,-2.70759,-2.70759,-0.957513
60,-0.863081,-2.71771,-2.71771,-0.863081
61,-0.639096,-2.74523,-2.74523,-0.639096
62,-0.131797,-2.80734,-2.80734,-0.131797
63,0.979215,-2.91225,-2.91225,0.979215
64,3.3165,-2.98893,-2.98893,3.3165
65,3.50569,-2.99864,-2.99864,3.50569
66,3.64888,-2.99803,-2.99803,3.64888
67,3.79311,-2.99752,-2.99752,3.79311
68,3.93864,-2.997,-2.997,3.93864
69,4.03548,-2.99648,-2.99648,4.03548
70,3.98172,-2.99596,-2.99596,3.98172
71,3.92953,-2.99543,-2.99543,3.92953
72,3.87887,-2.9949,-2.9949,3.87887
73,3.82969,-2.99437,-2.99437,3.82969
74,3.78194,-2.99384,-2.99384,3.78194
75,3.61276,-2.99331,-2.99331,3.61276
76,3.44813,-2.99276,-2.99276,3.44813
77,3.2934,-2.99222,-2.99222,3.2934
78,3.14797,-2.99166,-2.99166,3.14797
79,3.0113,-2.9911,-2.9911,3.0113
80,2.88283,-2.99053,-2.99053,2.88283
81,2.76209,-2.98995,-2.98995,2.76209
82,2.6486,-2.98936,-2.98936,2.6486
83,2.54193,-2.98876,-2.98876,2.54193
84,2.44166,-2.98814,-2.98814,2.44166
85,2.3474,-2.98751,-2.98751,2.3474
86,2.25879,-2.98686,-2.98686,2.25879
87,2.17549,-2.9862,-2.9862,2.17549
88,2.09717,-2.98552,-2.98552,2.09717
89,2.02354,-2.98483,-2.98483,2.02354
90,1.95432,-2.98412,-2.98412,1.95432
91,1.88923,-2.9834,-2.9834,1.88923
92,1.82803,-2.98266,-2.98266,1.82803
93,1.77048,-2.98191,-2.98191,1.77048
94,1.71637,-2.98114,-2.98114,1.71637
95,1.66548,-2.98036,-2.98036,1.66548
96,1.61762,-2.97957,-2.97957,1.61762
97,1.57261,-2.97877,-2.97877,1.57261
98,1.53028,-2.97797,-2.97797,1.53028
99,1.49046,-2.97715,-2.97715,1.49046
100,1.45301,-2.97633,-2.97633,1.45301
101,1.41778,-2.97551,-2.97551,1.41778
102,1.38464,-2.97469,-2.97469,1.38464
103,1.35347,-2.97386,-2.97386,1.35347
104,1.32414,-2.97303,-2.97303,1.32414
105,1.29654,-2.97221,-2.97221,1.29654
106,1.27058,-2.97139,-2.97139,1.27058
107,1.24615,-2.97057,-2.97057,1.24615
108,1.22316,-2.96975,-2.96975,1.22316
109,1.20152,-2.96894,-2.96894,1.20152
110,1.18115,-2.96814,-2.96814,1.18115
111,1.16199,-2.96734,-2.96734,1.16199
112,1.14394,-2.96655,-2.96655,1.14394
113,1.12696,-2.96577,-2.96577,1.12696
114,1.11097,-2.96499,-2.96499,1.11097
115,1.09591,-2.96423,-2.96423,1.09591
116,1.08173,-2.96347,-2.96347,1.08173
117,1.06837,-2.96272,-2.96272,1.06837
118,1.05579,-2.96198,-2.96198,1.05579
119,1.04393,-2.96125,-2.96125,1.04393
120,1.03277,-2.96052,-2.96052,1.03277
121,1.02224,-2.95981,-2.95981,1.02224
122,1.01232,-2.95911,-2.95911,1.01232
123,1.00297,-2.95841,-2.95841,1.00297
124,0.994147,-2.95772,-2.95772,0.994147
125,0.974122,-2.95704,-2.95704,0.974122
126,0.926573,-2.95611,-2.95611,0.926573
127,0.825674,-2.95452,-2.95452,0.825674
128,0.621425,-2.95132,-2.95132,0.621425
129,0.216391,-2.94349,-2.94349,0.216391
130,-0.583304,-2.91722,-2.91722,-0.583304
131,-2.19453,-2.78373,-2.78373,-2.19453
132,-3.09586,-2.41739,-2.41739,-3.09586
133,-2.97945,-2.38415,-2.38415,-2.97945
134,-2.83429,-2.38737,-2.38737,-2.83429
135,-2.69487,-2.3908,-2.3908,-2.69487
136,-2.56335,-2.39518,-2.39518,-2.56335
137,-2.43919,-2.40051,-2.40051,-2.43919
138,-2.32188,-2.4069,-2.4069,-2.32188
139,-2.21096,-2.41442,-2.41442,-2.21096
140,-2.106,-2.42309,-2.42309,-2.106
141,-2.00662,-2.43294,-2.43294,-2.00662
142,-1.91249,-2.44394,-2.44394,-1.91249
143,-1.82332,-2.45602,-2.45602,-1.82332
144,-1.73885,-2.46911,-2.46911,-1.73885
145,-1.65886,-2.48305,-2.48305,-1.65886
146,-1.58317,-2.49769,-2.49769,-1.58317
147,-1.51161,-2.51286,-2.51286,-1.51161
