Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
0,-1.22549,-2.63944,-2.63944,-1.22549
1,-1.21689,-2.64163,-2.64163,-1.21689
2,-1.20822,-2.64386,-2.64386,-1.20822
3,-1.19949,-2.64611,-2.64611,-1.19949
4,-1.19069,-2.64838,-2.64838,-1.19069
5,-1.18183,-2.65069,-2.65069,-1.18183
6,-1.1729,-2.65302,-2.65302,-1.1729
7,-1.1639,-2.65537,-2.65537,-1.1639
8,-1.15484,-2.65775,-2.65775,-1.15484
9,-1.14571,-2.66016,-2.66016,-1.14571
10,-1.13651,-2.6626,-2.6626,-1.13651
11,-1.12725,-2.66506,-2.66506,-1.12725
12,-1.11791,-2.66755,-2.66755,-1.11791
13,-1.10851,-2.67006,-2.67006,-1.10851
14,-1.09904,-2.6726,-2.6726,-1.09904
15,-1.0895,-2.67516,-2.67516,-1.0895
16,-1.07989,-2.67775,-2.67775,-1.07989
17,-1.07021,-2.68037,-2.68037,-1.07021
18,-1.06046,-2.68301,-2.68301,-1.06046
19,-1.05063,-2.68567,-2.68567,-1.05063
20,-1.04074,-2.68836,-2.68836,-1.04074
21,-1.03078,-2.69107,-2.69107,-1.03078
22,-1.02075,-2.6938,-2.6938,-1.02075
23,-1.01064,-2.69656,-2.69656,-1.01064
24,-1.00047,-2.69933,-2.69933,-1.00047
25,-0.990221,-2.70213,-2.70213,-0.990221
26,-0.979902,-2.70496,-2.70496,-0.979902
27,-0.959661,-2.7078,-2.7078,-0.959661
28,-0.92822,-2.71213,-2.71213,-0.92822
29,-0.882034,-2.71887,-2.71887,-0.882034
30,-0.815638,-2.72895,-2.72895,-0.815638
31,-0.721394,-2.74354,-2.74354,-0.721394
32,-0.58885,-2.76401,-2.76401,-0.58885
33,-0.403947,-2.79164,-2.79164,-0.403947
34,-0.148244,-2.82685,-2.82685,-0.148244
35,0.201724,-2.86774,-2.86774,0.201724
36,0.675303,-2.90911,-2.90911,0.675303
37,1.31007,-2.94411,-2.94411,1.31007
38,2.15635,-2.96851,-2.96851,2.15635
39,2.80177,-2.98282,-2.98282,2.80177
40,3.1557,-2.99016,-2.99016,3.1557
41,3.36592,-2.99374,-2.99374,3.36592
42,3.50544,-2.99539,-2.99539,3.50544
